Brand,Division,SKU,Description,Size,Color,Product Category/Series,Silhouette/Product Type,Channel Class,Department,Class,Sub Class,Heel Height,Season,Old Season,Gender,Width,Case Material,Band,Movement Type,Movement Name,HS Code,UOM,Currency,FOB,Unit Cost,Unit Price,Sale Tax Rate,Additional Sales Tax,Discount Start Date,Discount End Date,Discount %,BarCode,Launch Date
IVAR,SUMMER COLLECTION,O/STSHIRT,IVAR® OVERSIZED TSHIRT,XX-LARGE,CHOCOLATE BROWN,SUMMER COLLECTION,N/A,N/A,N/A,N/A,N/A,N/A,SUMMER,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6109.9090,NOS,PKR,0,0,1950,18,0,,,,106469,
IVAR,SUMMER COLLECTION,IVRSTSRT,IVAR® RESORT SHORTS,34,NAVY,SUMMER COLLECTION,,,,,,,SUMMER,,,,,,,,6203.4110,NOS,PKR,,,2500,18,0,,,,106467,
IVAR,SUMMER COLLECTION,IVBRZCBNCLRST,IVAR® BREEZE CUBAN COLLAR SHIRT,XX-LARGE,BLACK,SUMMER COLLECTION,,,,,,,SUMMER,,,,,,,,6205.3000,NOS,PKR,,,3250,18,0,,,,106465,
IVAR,SUMMER COLLECTION,IVBRZCBNCLRST,IVAR® BREEZE CUBAN COLLAR SHIRT,X-LARGE,BLACK,SUMMER COLLECTION,,,,,,,SUMMER,,,,,,,,6205.3000,NOS,PKR,,,3250,18,0,,,,106464,
IVAR,SUMMER COLLECTION,IVBRZCBNCLRST,IVAR® BREEZE CUBAN COLLAR SHIRT,LARGE,BLACK,SUMMER COLLECTION,,,,,,,SUMMER,,,,,,,,6205.3000,NOS,PKR,,,3250,18,0,,,,106463,
IVAR,SUMMER COLLECTION,IVBRZCBNCLRST,IVAR® BREEZE CUBAN COLLAR SHIRT,MEDIUM,BLACK,SUMMER COLLECTION,,,,,,,SUMMER,,,,,,,,6205.3000,NOS,PKR,,,3250,18,0,,,,106462,
IVAR,SUMMER COLLECTION,IVBRZCBNCLRST,IVAR® BREEZE CUBAN COLLAR SHIRT,SMALL,BLACK,SUMMER COLLECTION,,,,,,,SUMMER,,,,,,,,6205.3000,NOS,PKR,,,3250,18,0,,,,106461,
IVAR,SUMMER COLLECTION,IVBRZCBNCLRST,IVAR® BREEZE CUBAN COLLAR SHIRT,XX-LARGE,BROWN,SUMMER COLLECTION,,,,,,,SUMMER,,,,,,,,6205.3000,NOS,PKR,,,3250,18,0,,,,106460,
IVAR,SUMMER COLLECTION,IVBRZCBNCLRST,IVAR® BREEZE CUBAN COLLAR SHIRT,X-LARGE,BROWN,SUMMER COLLECTION,,,,,,,SUMMER,,,,,,,,6205.3000,NOS,PKR,,,3250,18,0,,,,106459,
IVAR,SUMMER COLLECTION,IVBRZCBNCLRST,IVAR® BREEZE CUBAN COLLAR SHIRT,LARGE,BROWN,SUMMER COLLECTION,,,,,,,SUMMER,,,,,,,,6205.3000,NOS,PKR,,,3250,18,0,,,,106458,
